Index, Heading, X, Y, East, North, Velocity
2, -88.7794, 204.216, 1820.12, 196.544, 768.306, 0
2, -88.7794, 204.216, 1820.12, 196.544, 768.306, 0
2, -88.7794, 204.216, 1820.12, 196.544, 768.306, 0
2, -88.7818, 204.216, 1820.12, 196.544, 768.306, 0.678504
2, -88.7863, 204.216, 1820.12, 196.544, 768.305, 0.83403
2, -88.7914, 204.216, 1820.12, 196.544, 768.304, 0.884732
2, -88.7933, 204.215, 1820.12, 196.544, 768.303, 0.849113
2, -88.7945, 204.215, 1820.12, 196.544, 768.303, 0.750215
2, -88.7952, 204.215, 1820.12, 196.543, 768.302, 0.612839
2, -88.796, 204.215, 1820.12, 196.543, 768.302, 0.463102
2, -88.7971, 204.215, 1820.12, 196.543, 768.3, 0.332579
2, -88.7976, 204.215, 1820.12, 196.543, 768.299, 0.268199
2, -88.7981, 204.215, 1820.11, 196.543, 768.297, 0.302727
2, -88.7986, 204.215, 1820.11, 196.544, 768.296, 0.3996
2, -88.7993, 204.215, 1820.11, 196.544, 768.293, 0.521783
2, -88.8007, 204.215, 1820.11, 196.544, 768.289, 0.66136
2, -88.8015, 204.215, 1820.1, 196.544, 768.285, 0.821767
2, -88.8026, 204.216, 1820.1, 196.544, 768.281, 1.00682
2, -88.804, 204.216, 1820.09, 196.545, 768.274, 1.21659
2, -88.8051, 204.216, 1820.09, 196.545, 768.269, 1.44929
2, -88.8066, 204.216, 1820.08, 196.545, 768.261, 1.69695
2, -88.8092, 204.216, 1820.06, 196.546, 768.246, 1.94949
2, -88.811, 204.216, 1820.05, 196.546, 768.234, 2.20421
2, -88.8126, 204.217, 1820.04, 196.547, 768.223, 2.45653
2, -88.8135, 204.217, 1820.03, 196.547, 768.215, 2.70161
2, -88.817, 204.217, 1820, 196.548, 768.186, 3.17509
2, -88.8185, 204.217, 1819.99, 196.549, 768.171, 3.17509
2, -88.8198, 204.218, 1819.98, 196.549, 768.158, 3.40545
2, -88.822, 204.218, 1819.95, 196.55, 768.135, 3.63157
2, -88.8236, 204.218, 1819.93, 196.551, 768.118, 3.85443
2, -88.8262, 204.219, 1819.9, 196.552, 768.087, 4.07429
2, -88.8279, 204.219, 1819.88, 196.553, 768.067, 4.29101
2, -88.8295, 204.219, 1819.86, 196.554, 768.047, 4.50529
2, -88.8315, 204.22, 1819.84, 196.554, 768.021, 4.71738
2, -88.8331, 204.22, 1819.82, 196.555, 767.999, 4.92727
2, -88.8361, 204.22, 1819.77, 196.557, 767.957, 5.13541
2, -88.8376, 204.221, 1819.75, 196.558, 767.933, 5.34184
2, -88.8391, 204.221, 1819.72, 196.559, 767.9, 5.54642
2, -88.8395, 204.221, 1819.7, 196.56, 767.881, 5.74948
2, -88.8402, 204.222, 1819.67, 196.561, 767.855, 5.95076
2, -88.8411, 204.222, 1819.64, 196.562, 767.818, 6.14981
2, -88.8426, 204.223, 1819.58, 196.564, 767.767, 6.34703
2, -88.8435, 204.223, 1819.56, 196.565, 767.739, 6.54283
2, -88.8444, 204.224, 1819.53, 196.566, 767.709, 6.73731
2, -88.8458, 204.224, 1819.48, 196.568, 767.666, 6.93044
2, -88.848, 204.225, 1819.43, 196.57, 767.609, 7.12245
2, -88.8492, 204.226, 1819.39, 196.571, 767.575, 7.31307
2, -88.8507, 204.226, 1819.35, 196.572, 767.537, 7.50187
