198.444   701.565   -0.042
198.447   701.466   -0.042
198.450   701.366   -0.042
198.453   701.266   -0.042
198.456   701.166   -0.042
198.458   701.066   -0.042
198.462   700.966   -0.042
198.465   700.867   -0.042
198.467   700.767   -0.042
198.471   700.667   -0.042
198.473   700.567   -0.042
198.476   700.467   -0.042
198.480   700.367   -0.042
198.482   700.267   -0.042
198.485   700.167   -0.042
198.488   700.067   -0.042
198.491   699.967   -0.042
198.495   699.867   -0.042
198.497   699.767   -0.042
198.500   699.667   -0.042
198.504   699.568   -0.042
198.506   699.468   -0.042
198.509   699.368   -0.042
198.513   699.268   -0.042
198.515   699.168   -0.042
198.518   699.068   -0.042
198.522   698.968   -0.042
198.524   698.868   -0.041
198.527   698.768   -0.041
198.531   698.668   -0.041
198.533   698.568   -0.041
198.536   698.468   -0.041
198.539   698.368   -0.041
198.542   698.268   -0.041
198.545   698.168   -0.041
198.547   698.068   -0.041
198.550   697.968   -0.041
198.553   697.868   -0.041
198.555   697.768   -0.041
198.558   697.668   -0.041
198.561   697.568   -0.041
198.563   697.469   -0.041
198.566   697.369   -0.041
198.569   697.269   -0.041
198.571   697.169   -0.041
198.574   697.069   -0.041
198.577   696.969   -0.041
198.579   696.869   -0.041
198.582   696.769   -0.041
198.585   696.669   -0.041
198.587   696.569   -0.041
198.590   696.469   -0.041
198.593   696.369   -0.041
198.595   696.269   -0.041
198.599   696.169   -0.041
198.602   696.069   -0.041
198.604   695.969   -0.041
198.608   695.869   -0.041
198.611   695.769   -0.041
198.614   695.669   -0.041
198.617   695.569   -0.041
198.620   695.469   -0.041
198.623   695.370   -0.041
198.626   695.270   -0.041
198.629   695.170   -0.041
198.632   695.070   -0.041
198.636   694.970   -0.041
198.638   694.870   -0.041
198.642   694.770   -0.041
198.645   694.670   -0.041
198.648   694.570   -0.041
198.651   694.470   -0.041
198.654   694.370   -0.041
198.657   694.270   -0.041
198.661   694.170   -0.041
198.663   694.070   -0.041
198.666   693.970   -0.041
198.670   693.870   -0.041
198.672   693.770   -0.041
198.675   693.670   -0.041
198.679   693.570   -0.041
198.682   693.471   -0.041
198.684   693.371   -0.041
198.688   693.271   -0.041
198.690   693.171   -0.041
198.694   693.071   -0.041
198.696   692.971   -0.041
198.698   692.871   -0.041
198.702   692.771   -0.041
198.704   692.671   -0.041
198.706   692.571   -0.041
198.710   692.471   -0.041
