Index, Heading, X, Y, East, North, Velocity
1, -89.5104, 200.688, 1820.61, 193.006, 768.715, 0
1, -89.5104, 200.688, 1820.61, 193.006, 768.715, 0
1, -89.5104, 200.688, 1820.61, 193.006, 768.715, 0
1, -89.5119, 200.688, 1820.61, 193.006, 768.714, 0.702448
1, -89.5144, 200.688, 1820.61, 193.006, 768.713, 0.863968
1, -89.5172, 200.688, 1820.61, 193.006, 768.712, 0.916698
1, -89.5182, 200.688, 1820.61, 193.006, 768.712, 0.879376
1, -89.519, 200.687, 1820.61, 193.005, 768.711, 0.775358
1, -89.5193, 200.687, 1820.61, 193.005, 768.711, 0.629241
1, -89.5197, 200.687, 1820.61, 193.005, 768.71, 0.46486
1, -89.5202, 200.687, 1820.61, 193.005, 768.709, 0.30593
1, -89.5204, 200.687, 1820.61, 193.005, 768.708, 0.184379
1, -89.5205, 200.687, 1820.61, 193.005, 768.708, 0.157371
1, -89.5207, 200.687, 1820.61, 193.005, 768.707, 0.214725
1, -89.5209, 200.687, 1820.61, 193.005, 768.706, 0.282741
1, -89.5213, 200.687, 1820.6, 193.005, 768.704, 0.340126
1, -89.5215, 200.687, 1820.6, 193.005, 768.703, 0.390285
1, -89.5217, 200.687, 1820.6, 193.005, 768.701, 0.444864
1, -89.5219, 200.687, 1820.6, 193.006, 768.698, 0.517881
1, -89.5221, 200.687, 1820.6, 193.006, 768.696, 0.620314
1, -89.5223, 200.687, 1820.59, 193.006, 768.693, 0.756402
1, -89.5226, 200.687, 1820.59, 193.006, 768.686, 0.924764
1, -89.5228, 200.688, 1820.58, 193.006, 768.68, 1.12174
1, -89.5229, 200.688, 1820.57, 193.006, 768.674, 1.33995
1, -89.5231, 200.688, 1820.57, 193.006, 768.67, 1.57078
1, -89.5234, 200.688, 1820.55, 193.007, 768.652, 2.05576
1, -89.5235, 200.688, 1820.54, 193.007, 768.643, 2.05576
1, -89.5236, 200.688, 1820.53, 193.008, 768.634, 2.30115
1, -89.5237, 200.688, 1820.52, 193.008, 768.617, 2.53995
1, -89.5237, 200.688, 1820.51, 193.009, 768.605, 2.77307
1, -89.5237, 200.688, 1820.48, 193.009, 768.583, 3.00008
1, -89.5237, 200.688, 1820.47, 193.01, 768.568, 3.21982
1, -89.5236, 200.689, 1820.45, 193.01, 768.552, 3.43395
1, -89.5236, 200.689, 1820.43, 193.011, 768.533, 3.64387
1, -89.5235, 200.689, 1820.42, 193.011, 768.515, 3.85052
1, -89.5234, 200.689, 1820.38, 193.012, 768.483, 4.05471
1, -89.5234, 200.689, 1820.36, 193.013, 768.463, 4.25702
1, -89.5233, 200.689, 1820.34, 193.014, 768.436, 4.45789
1, -89.5233, 200.689, 1820.32, 193.014, 768.421, 4.6576
1, -89.5233, 200.69, 1820.3, 193.015, 768.4, 4.85599
1, -89.5233, 200.69, 1820.27, 193.016, 768.37, 5.05272
1, -89.5232, 200.69, 1820.23, 193.017, 768.328, 5.24804
1, -89.5232, 200.69, 1820.2, 193.018, 768.304, 5.44225
1, -89.5232, 200.69, 1820.18, 193.018, 768.279, 5.63533
1, -89.5232, 200.691, 1820.14, 193.019, 768.244, 5.82713
1, -89.5232, 200.691, 1820.1, 193.021, 768.195, 6.01788
1, -89.5231, 200.691, 1820.07, 193.022, 768.167, 6.20725
1, -89.5231, 200.691, 1820.03, 193.023, 768.134, 6.39485
1, -89.523, 200.691, 1820.01, 193.024, 768.11, 6.58093
1, -89.523, 200.692, 1819.98, 193.025, 768.08, 6.76536
1, -89.5229, 200.692, 1819.94, 193.026, 768.039, 6.9481
1, -89.5229, 200.692, 1819.89, 193.027, 767.986, 7.12944
1, -89.5229, 200.693, 1819.85, 193.028, 767.95, 7.30936
1, -89.5228, 200.693, 1819.8, 193.03, 767.905, 7.48769
